,Mean,Std
ABL_TCN_Gated_Mod (0-10mm)_Bias,-0.7897523257776602,0.37421894154582774
ABL_TCN_Gated_Heavy (>10mm)_Bias,-1.2369215048940472,2.6520496184797624
ABL_TCN_Gated_Overall_NSE,0.9602893481651866,0.010768380761233903
ABL_TCN_Gated_No Rain (0mm)_NSE,,
ABL_TCN_Gated_Mod (0-10mm)_NSE,0.6154400219344546,0.018296937654755333
ABL_TCN_Gated_Heavy (>10mm)_NSE,0.9075681190544994,0.028971997583125332
ABL_TCN_Gated_Overall_Samples,2491.0,0.0
ABL_TCN_Gated_No Rain (0mm)_Samples,1495.0,0.0
ABL_TCN_Gated_Mod (0-10mm)_Samples,639.0,0.0
ABL_TCN_Gated_Heavy (>10mm)_Samples,357.0,0.0
ABL_TCN_Direct_Overall_R2,0.9611663028061523,0.010472723371272608
ABL_TCN_Direct_No Rain (0mm)_R2,,
ABL_TCN_Direct_Mod (0-10mm)_R2,0.665240838643878,0.025401647011137885
ABL_TCN_Direct_Heavy (>10mm)_R2,0.9087267815559091,0.028329675191807884
ABL_TCN_Direct_Overall_MAE,0.8653112649917603,0.048800643533468246
ABL_TCN_Direct_No Rain (0mm)_MAE,0.11843651533126831,0.04632299765944481
ABL_TCN_Direct_Mod (0-10mm)_MAE,1.0775177478790283,0.01284052524715662
ABL_TCN_Direct_Heavy (>10mm)_MAE,3.613147735595703,0.2845305800437927
ABL_TCN_Direct_Overall_MSE,6.897100925445557,1.8600194454193115
ABL_TCN_Direct_No Rain (0mm)_MSE,0.16490158438682556,0.1806114912033081
ABL_TCN_Direct_Mod (0-10mm)_MSE,2.714463710784912,0.20597445964813232
ABL_TCN_Direct_Heavy (>10mm)_MSE,42.5759391784668,13.214853286743164
ABL_TCN_Direct_Overall_RMSE,2.6070640087127686,0.3541165590286255
ABL_TCN_Direct_No Rain (0mm)_RMSE,0.36268430948257446,0.20421090722084045
ABL_TCN_Direct_Mod (0-10mm)_RMSE,1.6466302871704102,0.06197088584303856
ABL_TCN_Direct_Heavy (>10mm)_RMSE,6.462778568267822,1.0052540302276611
ABL_TCN_Direct_Overall_MAPE,40.28095245361328,5.186451437654721
ABL_TCN_Direct_No Rain (0mm)_MAPE,,
ABL_TCN_Direct_Mod (0-10mm)_MAPE,56.074010729789734,8.108196212814677
ABL_TCN_Direct_Heavy (>10mm)_MAPE,12.01270505785942,0.4879876417994528
ABL_TCN_Direct_Overall_Bias,-0.2561866343021393,0.47834041714668274
ABL_TCN_Direct_No Rain (0mm)_Bias,0.11843651533126831,0.04632299765944481
ABL_TCN_Direct_Mod (0-10mm)_Bias,-0.6206406354904175,0.3696468472480774
ABL_TCN_Direct_Heavy (>10mm)_Bias,-1.1726444959640503,2.6426048278808594
ABL_TCN_Direct_Overall_NSE,0.9611663039773702,0.010472723145466906
ABL_TCN_Direct_No Rain (0mm)_NSE,,
ABL_TCN_Direct_Mod (0-10mm)_NSE,0.6652408480644226,0.025401645654565798
ABL_TCN_Direct_Heavy (>10mm)_NSE,0.908726780116558,0.028329669641323434
ABL_TCN_Direct_Overall_Samples,2491.0,0.0
ABL_TCN_Direct_No Rain (0mm)_Samples,1495.0,0.0
